entry_time,exit_time,symbol,timeframe,side,entry_px,exit_px,profit,exit_type,bars_held,rsi,bb_width_ratio,vol_ratio,spread_pts,entry_hour,entry_dow,mae_r,mfe_r,mae_r_b5,mfe_r_b5,mae_r_b6,mfe_r_b6,sl_pts
2023-01-02 23:05:00,2023.01.02 23:15:00,EURUSD,M5,sell,1.06795,1.06634,1.61,midline,1,78.33,0.001248,5.662,10,23,1,0.175,0.85,-1.0,-1.0,-1.0,-1.0,200.0
2023-01-04 05:10:00,2023.01.04 05:25:00,EURUSD,M5,sell,1.0576,1.05674,0.86,midline,2,76.27,0.000974,1.668,1,5,3,0.0,0.45,-1.0,-1.0,-1.0,-1.0,200.0
2023-01-11 05:35:00,2023.01.11 07:00:00,EURUSD,M5,sell,1.07471,1.0746,0.11,midline,16,76.12,0.001648,1.92,1,5,3,0.485,0.06,0.485,0.015,0.485,0.015,200.0
2023-02-03 00:05:00,2023.02.03 02:05:00,EURUSD,M5,buy,1.08976,1.0895,-0.26,midline,23,23.57,0.000963,5.231,1,0,5,0.32,0.1,0.175,0.1,0.175,0.1,200.0
2023-02-10 00:25:00,2023.02.10 01:00:00,EURUSD,M5,buy,1.07288,1.07346,0.58,midline,6,23.69,0.001158,2.079,1,0,5,0.155,0.29,0.155,0.1,0.155,0.29,200.0
2023-02-14 00:05:00,2023.02.14 01:00:00,EURUSD,M5,sell,1.0735,1.07336,0.14,midline,10,77.87,0.001204,2.782,1,0,2,0.09,0.245,0.09,0.22,0.09,0.225,200.0
2023-02-17 04:40:00,2023.02.17 06:00:00,EURUSD,M5,buy,1.06357,1.06384,0.27,midline,15,19.14,0.001567,2.066,1,4,5,0.145,0.25,0.145,0.25,0.145,0.25,200.0
2023-02-23 01:35:00,2023.02.23 02:30:00,EURUSD,M5,sell,1.06179,1.06156,0.23,midline,10,77.95,0.001164,1.818,1,1,4,0.185,0.135,0.185,0.07,0.185,0.095,200.0
2023-02-24 01:05:00,2023.02.24 01:30:00,EURUSD,M5,sell,1.06132,1.06006,1.26,midline,4,79.24,0.001391,2.002,1,1,5,0.055,0.655,-1.0,-1.0,-1.0,-1.0,200.0
2023-03-01 00:35:00,2023.03.01 01:10:00,EURUSD,M5,buy,1.05669,1.05712,0.43,midline,6,22.73,0.0016,4.039,1,0,3,0.075,0.265,0.075,0.12,0.075,0.265,200.0
2023-03-01 06:30:00,2023.03.01 07:45:44,EURUSD,M5,sell,1.0602,1.0622,-2.0,sl,14,78.08,0.001196,2.022,1,6,3,0.88,0.055,0.64,0.055,0.64,0.055,200.0
2023-03-03 01:00:00,2023.03.03 01:50:00,EURUSD,M5,sell,1.06107,1.06062,0.45,midline,9,77.49,0.001204,2.194,1,0,5,0.185,0.255,0.185,0.08,0.185,0.25,200.0
2023-03-03 06:55:00,2023.03.03 07:10:00,EURUSD,M5,sell,1.06213,1.06173,0.4,midline,2,77.93,0.001321,1.632,1,6,5,0.05,0.31,-1.0,-1.0,-1.0,-1.0,200.0
2023-03-07 07:00:00,2023.03.07 07:15:00,EURUSD,M5,buy,1.06764,1.06835,0.71,midline,2,24.52,0.001178,1.757,1,6,2,0.085,0.425,-1.0,-1.0,-1.0,-1.0,200.0
2023-03-14 00:10:00,2023.03.14 00:50:00,EURUSD,M5,buy,1.07133,1.07212,0.79,midline,7,24.65,0.001398,1.863,1,0,2,0.02,0.46,0.02,0.345,0.02,0.345,200.0
2023-03-16 05:30:00,2023.03.16 06:05:00,EURUSD,M5,sell,1.06123,1.0607,0.53,midline,6,76.61,0.001341,1.772,1,5,4,0.145,0.41,0.145,0.31,0.145,0.41,200.0
2023-03-28 01:55:00,2023.03.28 02:40:00,EURUSD,M5,sell,1.0817,1.08117,0.53,midline,8,78.15,0.001068,2.05,1,1,2,0.12,0.305,0.12,0.305,0.12,0.305,200.0
2023-04-02 23:20:00,2023.04.02 23:34:38,EURUSD,M5,buy,1.08298,1.08096,-2.02,sl,1,21.82,0.001318,3.504,2,23,0,0.1,0.22,-1.0,-1.0,-1.0,-1.0,200.0
2023-04-11 01:10:00,2023.04.11 02:15:00,EURUSD,M5,sell,1.08733,1.08702,0.31,midline,12,82.01,0.00093,2.744,1,1,2,0.28,0.16,0.14,0.06,0.14,0.06,200.0
2023-04-12 01:55:00,2023.04.12 03:20:00,EURUSD,M5,sell,1.09255,1.09248,0.07,midline,16,78.82,0.000821,3.729,1,1,3,0.165,0.21,0.11,0.21,0.11,0.21,200.0
2023-04-14 01:05:00,2023.04.14 01:15:00,EURUSD,M5,sell,1.10552,1.10511,0.41,midline,1,78.68,0.000629,4.877,1,1,5,0.035,0.32,-1.0,-1.0,-1.0,-1.0,200.0
2023-04-14 03:10:00,2023.04.14 04:10:00,EURUSD,M5,sell,1.1073,1.10677,0.53,midline,11,78.83,0.001552,2.427,1,3,5,0.01,0.335,0.01,0.225,0.01,0.31,200.0
2023-04-19 02:00:00,2023.04.19 02:35:00,EURUSD,M5,sell,1.09826,1.09771,0.55,midline,6,76.05,0.000762,1.912,1,1,3,0.07,0.325,0.07,0.2,0.07,0.325,200.0
2023-04-19 03:05:00,2023.04.19 03:50:00,EURUSD,M5,buy,1.09662,1.09726,0.64,midline,8,24.7,0.001594,1.957,1,3,3,0.045,0.39,0.045,0.37,0.045,0.39,200.0
2023-04-19 06:50:00,2023.04.19 07:05:00,EURUSD,M5,buy,1.09616,1.09693,0.77,midline,2,22.16,0.001173,1.769,1,6,3,0.07,0.39,-1.0,-1.0,-1.0,-1.0,200.0
2023-04-20 07:15:00,2023.04.20 08:10:00,EURUSD,M5,sell,1.09701,1.09619,0.82,midline,10,77.77,0.001372,1.965,1,7,4,0.16,0.63,0.16,0.19,0.16,0.19,200.0
2023-04-21 07:50:00,2023.04.21 08:35:00,EURUSD,M5,buy,1.09473,1.09527,0.54,midline,8,23.8,0.001624,1.647,1,7,5,0.47,0.295,0.47,0.115,0.47,0.125,200.0
2023-04-25 01:40:00,2023.04.25 02:40:00,EURUSD,M5,sell,1.10636,1.10613,0.23,midline,11,77.12,0.000998,2.378,1,1,2,0.17,0.3,0.15,0.3,0.15,0.3,200.0
2023-04-26 06:45:00,2023.04.26 07:35:00,EURUSD,M5,sell,1.09889,1.09965,-0.76,e8c,9,79.91,0.001476,1.809,1,6,3,0.4,0.205,0.1,0.205,0.135,0.205,200.0
2023-05-09 01:05:00,2023.05.09 02:10:00,EURUSD,M5,buy,1.09914,1.09926,0.12,midline,12,18.59,0.001019,3.824,1,1,2,0.32,0.065,0.32,0.005,0.32,0.005,200.0
2023-05-09 12:35:00,2023.05.09 13:45:00,EURUSD,M5,buy,1.09658,1.09626,-0.32,midline,13,23.84,0.001438,1.77,1,12,2,0.365,0.07,0.335,0.05,0.365,0.05,200.0
2023-05-10 06:25:00,2023.05.10 07:15:00,EURUSD,M5,buy,1.09683,1.09717,0.34,midline,9,24.79,0.00092,2.002,1,6,3,0.295,0.205,0.295,0.025,0.295,0.025,200.0
2023-05-15 07:15:00,2023.05.15 07:25:00,EURUSD,M5,sell,1.08717,1.0868,0.37,midline,1,76.71,0.001117,1.983,1,7,1,0.02,0.315,-1.0,-1.0,-1.0,-1.0,200.0
2023-05-17 06:55:00,2023.05.17 07:30:00,EURUSD,M5,buy,1.08567,1.08602,0.35,midline,6,24.14,0.001073,1.98,1,6,3,0.325,0.22,0.325,0.08,0.325,0.22,200.0
2023-05-19 07:10:00,2023.05.19 08:25:00,EURUSD,M5,sell,1.07787,1.07823,-0.36,midline,14,75.76,0.001522,2.457,1,7,5,0.665,0.14,0.665,0.14,0.665,0.14,200.0
2023-05-21 23:25:00,2023.05.22 00:45:00,EURUSD,M5,sell,1.08179,1.08182,-0.03,midline,15,75.77,0.001301,2.178,2,23,0,0.31,0.06,0.09,0.045,0.09,0.045,200.0
2023-05-30 06:25:00,2023.05.30 07:35:00,EURUSD,M5,buy,1.06879,1.06939,0.6,midline,13,16.44,0.001579,3.379,1,6,2,0.325,0.355,0.325,0.335,0.325,0.335,200.0
2023-06-05 00:35:00,2023.06.05 01:55:00,EURUSD,M5,buy,1.06962,1.0694,-0.22,midline,15,22.03,0.001241,1.508,1,0,1,0.295,0.105,0.2,0.105,0.22,0.105,200.0
2023-06-06 03:15:00,2023.06.06 03:40:00,EURUSD,M5,sell,1.07245,1.07173,0.72,midline,4,77.44,0.00087,3.235,1,3,2,0.01,0.4,-1.0,-1.0,-1.0,-1.0,200.0
