entry_time,exit_time,symbol,timeframe,side,entry_px,exit_px,profit,exit_type,bars_held,rsi,bb_width_ratio,vol_ratio,spread_pts,entry_hour,entry_dow,mae_r,mfe_r,mae_r_b5,mfe_r_b5,mae_r_b6,mfe_r_b6,sl_pts
2024.01.04 03:35:00,2024.01.04 04:30:00,EURUSD,M5,sell,1.09287,1.09254,0.33,midline,10,77.39,0.001151,2.237,3,3,4,0.1050,0.2150,0.1050,0.1750,0.1050,0.1750,200.0
2024.01.05 03:30:00,2024.01.05 04:35:00,EURUSD,M5,buy,1.09411,1.09402,-0.09,midline,12,23.86,0.001422,1.573,3,3,5,0.1850,0.0500,0.1100,0.0500,0.1150,0.0500,200.0
2024.01.05 06:35:00,2024.01.05 07:15:00,EURUSD,M5,buy,1.09275,1.09302,0.27,midline,7,23.23,0.001051,2.110,1,6,5,0.1500,0.1950,0.1500,0.0450,0.1500,0.0950,200.0
2024.01.12 07:15:00,2024.01.12 08:10:00,EURUSD,M5,buy,1.09666,1.09742,0.76,midline,10,24.19,0.001147,2.607,1,7,5,0.2850,0.4300,0.2850,0.1600,0.2850,0.1600,200.0
2024.01.16 00:25:00,2024.01.16 00:50:00,EURUSD,M5,buy,1.09415,1.09300,-1.15,e8c,4,19.95,0.000851,1.971,3,0,2,0.6350,0.0100,-1.0000,-1.0000,-1.0000,-1.0000,200.0
2024.01.18 01:00:00,2024.01.18 02:30:00,EURUSD,M5,sell,1.08941,1.08961,-0.20,midline,17,79.90,0.000965,2.747,3,0,4,0.4300,0.1050,0.3350,0.1050,0.3350,0.1050,200.0
2024.01.19 06:05:00,2024.01.19 06:55:00,EURUSD,M5,buy,1.08803,1.08804,0.01,midline,9,24.73,0.000908,1.783,3,6,5,0.2400,0.0750,0.2400,0.0750,0.2400,0.0750,200.0
2024.01.23 05:40:00,2024.01.23 07:00:00,EURUSD,M5,sell,1.09029,1.09141,-1.12,e8c,15,76.40,0.000977,1.652,3,5,2,0.5650,0.0800,0.2550,0.0800,0.2550,0.0800,200.0
2024.01.23 07:00:00,2024.01.23 07:25:00,EURUSD,M5,sell,1.09140,1.09078,0.62,midline,4,79.00,0.001346,2.072,1,6,2,0.1100,0.3150,-1.0000,-1.0000,-1.0000,-1.0000,200.0
2024.01.25 00:15:00,2024.01.25 01:35:00,EURUSD,M5,buy,1.08755,1.08753,-0.02,midline,15,21.81,0.001097,1.892,3,0,4,0.2750,0.0750,0.1550,0.0550,0.1550,0.0550,200.0
2024.01.25 07:15:00,2024.01.25 07:40:00,EURUSD,M5,sell,1.08892,1.08858,0.34,midline,4,77.13,0.001444,1.572,1,7,4,0.1150,0.2400,-1.0000,-1.0000,-1.0000,-1.0000,200.0
2024.01.26 06:50:00,2024.01.26 07:20:00,EURUSD,M5,buy,1.08305,1.08154,-1.51,e8c,5,23.93,0.001394,2.145,1,6,5,0.7550,0.0250,0.7550,0.0250,-1.0000,-1.0000,200.0
2024.01.29 20:05:00,2024.01.29 21:05:00,EURUSD,M5,sell,1.08276,1.08277,-0.01,midline,11,80.53,0.001537,3.885,1,20,1,0.6400,0.0850,0.6400,0.0800,0.6400,0.0800,200.0
2024.01.30 07:00:00,2024.01.30 07:45:00,EURUSD,M5,buy,1.08150,1.08167,0.17,midline,8,23.71,0.001226,1.688,1,6,2,0.1700,0.2250,0.1700,0.1900,0.1700,0.1900,200.0
2024.02.01 07:10:00,2024.02.01 08:00:00,EURUSD,M5,buy,1.07932,1.07932,0.00,midline,9,23.24,0.001134,1.508,1,7,4,0.4800,0.0550,0.4800,0.0100,0.4800,0.0100,200.0
2024.02.04 23:10:00,2024.02.04 23:40:00,EURUSD,M5,buy,1.07734,1.07782,0.48,midline,5,23.78,0.001464,2.118,3,23,0,0.1800,0.3100,0.1800,0.3100,-1.0000,-1.0000,200.0
2024.02.06 07:20:00,2024.02.06 07:50:00,EURUSD,M5,sell,1.07621,1.07548,0.73,midline,5,76.50,0.001366,1.680,1,7,2,0.0150,0.4050,0.0150,0.4050,-1.0000,-1.0000,200.0
2024.02.07 01:10:00,2024.02.07 03:00:00,EURUSD,M5,sell,1.07616,1.07637,-0.21,midline,21,75.72,0.000591,2.684,3,1,3,0.2200,0.0750,0.0550,0.0750,0.0550,0.0750,200.0
2024.02.13 06:35:00,2024.02.13 07:05:00,EURUSD,M5,sell,1.07703,1.07737,-0.34,e8c,5,79.06,0.000482,1.662,2,6,2,0.2300,0.0550,0.2300,0.0550,-1.0000,-1.0000,200.0
2024.02.13 07:05:00,2024.02.13 07:30:00,EURUSD,M5,sell,1.07735,1.07717,0.18,midline,4,81.49,0.000753,3.756,2,7,2,0.2150,0.2050,-1.0000,-1.0000,-1.0000,-1.0000,200.0
2024.02.15 12:35:00,2024.02.15 13:30:29,EURUSD,M5,sell,1.07451,1.07661,-2.10,sl,10,75.61,0.000938,1.621,1,12,4,0.2900,0.1400,0.1850,0.1400,0.1850,0.1400,200.0
2024.02.16 00:30:00,2024.02.16 01:35:00,EURUSD,M5,buy,1.07653,1.07648,-0.05,midline,12,24.42,0.001154,1.513,4,0,5,0.2250,0.0450,0.2250,0.0400,0.2250,0.0400,200.0
2024.02.19 07:15:00,2024.02.19 07:50:00,EURUSD,M5,sell,1.07881,1.07841,0.40,midline,6,75.33,0.000850,1.576,2,7,1,0.0650,0.2600,0.0650,0.1200,0.0650,0.2600,200.0
2024.02.19 18:20:00,2024.02.19 19:20:00,EURUSD,M5,sell,1.07825,1.07791,0.34,midline,11,88.16,0.001326,2.000,2,18,1,0.0100,0.2400,0.0100,0.1800,0.0100,0.2400,200.0
2024.02.22 00:35:00,2024.02.22 01:40:00,EURUSD,M5,sell,1.08281,1.08285,-0.04,midline,12,75.48,0.000965,1.575,4,0,4,0.1850,0.0750,0.1850,0.0300,0.1850,0.0650,200.0
2024.02.22 05:15:00,2024.02.22 05:50:00,EURUSD,M5,sell,1.08327,1.08378,-0.51,e8c,6,76.32,0.000933,1.997,4,5,4,0.2600,0.0300,0.1400,0.0300,0.2600,0.0300,200.0
2024.02.22 05:50:00,2024.02.22 07:10:00,EURUSD,M5,sell,1.08374,1.08442,-0.68,e8c,15,79.41,0.001100,2.123,4,5,4,0.3600,0.2400,0.0050,0.2400,0.0050,0.2400,200.0
2024.02.22 07:10:00,2024.02.22 08:15:05,EURUSD,M5,sell,1.08440,1.08673,-2.33,sl,12,76.42,0.000993,2.363,2,7,4,0.9000,0.0700,0.3650,0.0700,0.5050,0.0700,200.0
