entry_time,split,profit,exit_type,label_invalid,rsi,bb_width_ratio,vol_ratio,spread_pts,entry_hour,entry_dow,side_sell,rsi_depth,mae_r_b5,mfe_r_b5,mae_r_b6,mfe_r_b6,mae_delta_b5_b6,mfe_delta_b5_b6
2023-01-11 05:35:00+00:00,train,0.11,midline,0,76.12,0.001648,1.92,1,5,3,1,1.1200000000000045,0.485,0.015,0.485,0.015,0.0,0.0
2023-02-03 00:05:00+00:00,train,-0.26,midline,0,23.57,0.000963,5.231,1,0,5,0,1.4299999999999997,0.175,0.1,0.175,0.1,0.0,0.0
2023-02-10 00:25:00+00:00,train,0.58,midline,0,23.69,0.001158,2.079,1,0,5,0,1.3099999999999987,0.155,0.1,0.155,0.29,0.0,0.18999999999999997
2023-02-14 00:05:00+00:00,train,0.14,midline,0,77.87,0.001204,2.782,1,0,2,1,2.8700000000000045,0.09,0.22,0.09,0.225,0.0,0.0050000000000000044
2023-02-17 04:40:00+00:00,train,0.27,midline,0,19.14,0.001567,2.066,1,4,5,0,5.859999999999999,0.145,0.25,0.145,0.25,0.0,0.0
2023-02-23 01:35:00+00:00,train,0.23,midline,0,77.95,0.001164,1.818,1,1,4,1,2.950000000000003,0.185,0.07,0.185,0.095,0.0,0.024999999999999994
2023-03-01 00:35:00+00:00,train,0.43,midline,0,22.73,0.0016,4.039,1,0,3,0,2.2699999999999996,0.075,0.12,0.075,0.265,0.0,0.14500000000000002
2023-03-01 06:30:00+00:00,train,-2.0,sl,1,78.08,0.001196,2.022,1,6,3,1,3.0799999999999983,0.64,0.055,0.64,0.055,0.0,0.0
2023-03-03 01:00:00+00:00,train,0.45,midline,0,77.49,0.001204,2.194,1,0,5,1,2.489999999999995,0.185,0.08,0.185,0.25,0.0,0.16999999999999998
2023-03-14 00:10:00+00:00,train,0.79,midline,0,24.65,0.001398,1.863,1,0,2,0,0.3500000000000014,0.02,0.345,0.02,0.345,0.0,0.0
2023-03-16 05:30:00+00:00,train,0.53,midline,0,76.61,0.001341,1.772,1,5,4,1,1.6099999999999994,0.145,0.31,0.145,0.41,0.0,0.09999999999999998
2023-03-28 01:55:00+00:00,train,0.53,midline,0,78.15,0.001068,2.05,1,1,2,1,3.1500000000000057,0.12,0.305,0.12,0.305,0.0,0.0
2023-04-11 01:10:00+00:00,train,0.31,midline,0,82.01,0.00093,2.744,1,1,2,1,7.010000000000005,0.14,0.06,0.14,0.06,0.0,0.0
2023-04-12 01:55:00+00:00,train,0.07,midline,0,78.82,0.000821,3.729,1,1,3,1,3.819999999999993,0.11,0.21,0.11,0.21,0.0,0.0
2023-04-14 03:10:00+00:00,train,0.53,midline,0,78.83,0.001552,2.427,1,3,5,1,3.8299999999999983,0.01,0.225,0.01,0.31,0.0,0.08499999999999999
2023-04-19 02:00:00+00:00,train,0.55,midline,0,76.05,0.000762,1.912,1,1,3,1,1.0499999999999972,0.07,0.2,0.07,0.325,0.0,0.125
2023-04-19 03:05:00+00:00,train,0.64,midline,0,24.7,0.001594,1.957,1,3,3,0,0.3000000000000007,0.045,0.37,0.045,0.39,0.0,0.020000000000000018
2023-04-20 07:15:00+00:00,train,0.82,midline,0,77.77,0.001372,1.965,1,7,4,1,2.769999999999996,0.16,0.19,0.16,0.19,0.0,0.0
2023-04-21 07:50:00+00:00,train,0.54,midline,0,23.8,0.001624,1.647,1,7,5,0,1.1999999999999993,0.47,0.115,0.47,0.125,0.0,0.009999999999999995
2023-04-25 01:40:00+00:00,train,0.23,midline,0,77.12,0.000998,2.378,1,1,2,1,2.1200000000000045,0.15,0.3,0.15,0.3,0.0,0.0
