log_schema,trade_id,entry_time,exit_time,symbol,timeframe,side,entry_px,exit_px,profit,exit_type,bars_held,rsi,bb_width_ratio,vol_ratio,spread_pts,entry_hour,entry_dow,rsi_depth,bb_walk_count,wick_pct,ema_slope_bp,atr_ratio,bb_pen_pts,htf_slope_bp,mae_r,mfe_r,mae_r_b4,mfe_r_b4,mae_r_b5,mfe_r_b5,mae_r_b6,mfe_r_b6,sl_pts,label_bad_entry,label_tail_loss,label_early_cut_b4,label_early_cut_b6,label_early_cut,label_regime,label_profile_good,label_profile_bad,label_bad_trade,label_loss,label_sl
2,2,2023-01-02 23:05:00,2023.01.02 23:15:00,EURUSD,M5,sell,1.06795,1.06634,1.61,midline,1,78.33,0.001248,5.662,10,23,1,3.33,1,16.77,1.1,0.000281,70.2,-0.13,0.175,0.85,,,,,,,200.0,0,0,0,0,0,range,1,0,0,0,0
2,4,2023-01-04 05:10:00,2023.01.04 05:25:00,EURUSD,M5,sell,1.0576,1.05674,0.86,midline,2,76.27,0.000974,1.668,1,5,3,1.27,3,58.54,1.83,0.000236,22.9,-6.69,0.0,0.45,,,,,,,200.0,0,0,0,0,0,trend,1,0,0,0,0
2,6,2023-01-11 05:35:00,2023.01.11 07:00:00,EURUSD,M5,sell,1.07471,1.0746,0.11,midline,16,76.12,0.001648,1.92,1,5,3,1.12,1,3.57,3.3,0.000221,5.9,4.75,0.485,0.06,0.485,0.015,0.485,0.015,0.485,0.015,200.0,0,0,1,0,1,range,1,0,0,0,0
2,8,2023-02-03 00:05:00,2023.02.03 02:05:00,EURUSD,M5,buy,1.08976,1.0895,-0.26,midline,23,23.57,0.000963,5.231,1,0,5,1.43,1,39.53,-1.73,0.000212,40.7,-4.8,0.32,0.1,0.175,0.1,0.175,0.1,0.175,0.1,200.0,0,0,0,0,0,range,1,0,0,1,0
2,10,2023-02-10 00:25:00,2023.02.10 01:00:00,EURUSD,M5,buy,1.07288,1.07346,0.58,midline,6,23.69,0.001158,2.079,1,0,5,1.31,5,21.88,-2.27,0.000179,28.3,-1.63,0.155,0.29,0.155,0.065,0.155,0.1,0.155,0.29,200.0,0,0,0,0,0,range,1,0,0,0,0
2,12,2023-02-14 00:05:00,2023.02.14 01:00:00,EURUSD,M5,sell,1.0735,1.07336,0.14,midline,10,77.87,0.001204,2.782,1,0,2,2.87,2,13.56,2.46,0.000228,32.5,4.41,0.09,0.245,0.09,0.21,0.09,0.22,0.09,0.225,200.0,0,0,0,0,0,range,1,0,0,0,0
2,14,2023-02-17 04:40:00,2023.02.17 06:00:00,EURUSD,M5,buy,1.06357,1.06384,0.27,midline,15,19.14,0.001567,2.066,1,4,5,5.86,2,2.78,-2.94,0.000239,66.3,-7.78,0.145,0.25,0.145,0.25,0.145,0.25,0.145,0.25,200.0,0,0,0,0,0,trend,1,1,0,0,0
2,16,2023-02-23 01:35:00,2023.02.23 02:30:00,EURUSD,M5,sell,1.06179,1.06156,0.23,midline,10,77.95,0.001164,1.818,1,1,4,2.95,2,5.71,2.21,0.000181,12.9,-6.92,0.185,0.135,0.185,0.07,0.185,0.07,0.185,0.095,200.0,0,0,0,0,0,trend,1,0,0,0,0
2,18,2023-02-24 01:05:00,2023.02.24 01:30:00,EURUSD,M5,sell,1.06132,1.06006,1.26,midline,4,79.24,0.001391,2.002,1,1,5,4.24,4,12.2,2.73,0.000251,54.7,-3.33,0.055,0.655,0.055,0.655,,,,,200.0,0,0,0,0,0,range,1,0,0,0,0
2,20,2023-03-01 00:35:00,2023.03.01 01:10:00,EURUSD,M5,buy,1.05669,1.05712,0.43,midline,6,22.73,0.0016,4.039,1,0,3,2.27,0,23.81,-3.1,0.000233,0.0,-3.44,0.075,0.265,0.075,0.12,0.075,0.12,0.075,0.265,200.0,0,0,0,0,0,range,1,0,0,0,0
